blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,CABINET (3).pdf,without coating,numeric,7.1,,,,,tungsten carbide,14.0,18,500 314 001 071 018,,3.0,,1.8,1.8,113.80190658569336,364.2604217529297,
1,CABINET (3).pdf,without coating,numeric,7.1,,,,,tungsten carbide,14.0,18,500 314 001 071 023,,3.0,,,2.3,194.0902862548828,364.2604217529297,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,14.0,22,500 314 010 001 010,,3.0,,1.0,1.0,113.71599960327148,646.4112243652344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,14.0,22,500 314 010 001 012,,3.0,,,1.2,194.0039825439453,646.4112243652344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,14.0,22,500 314 010 001 014,,3.0,,,1.4,274.2959899902344,646.4112243652344,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,14.0,22,500 314 010 001 016,,3.0,,,1.6,354.58399963378906,645.7632141113281,
0,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,14.0,22,500 314 010 001 018,,3.0,,,1.8,434.8760070800781,645.7632141113281,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 107 006 008,,3.0,,0.8,0.8,113.80199813842773,403.1702117919922,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 107 006 010,,3.0,,,1.0,194.0899887084961,403.1702117919922,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 107 006 012,,3.0,,,1.2,274.3779830932617,403.1702117919922,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 107 006 014,,3.0,,,1.4,354.6699676513672,403.1702117919922,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 107 006 016,,3.0,,,1.6,434.9579772949219,403.1702117919922,
7,CABINET (3).pdf,without coating,numeric,0.8,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,11,500 314 107 008 012,,3.0,,1.2,1.2,114.46609497070312,754.8136291503906,
7,CABINET (3).pdf,without coating,numeric,0.8,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,11,500 314 107 008 014,,3.0,,,1.4,194.75808715820312,754.8136291503906,
0,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 110 006 010,,3.0,,1.0,1.0,113.80189514160156,581.4346618652344,
0,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 110 006 012,,3.0,,,1.2,194.0898895263672,581.4346618652344,
0,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 110 006 014,,3.0,,,1.4,274.3818817138672,581.4346618652344,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 137 006 010,,3.0,,,1.0,354.6738586425781,581.4346618652344,
7,CABINET (3).pdf,without coating,numeric,0.6,cutter cylindric blunt-edged,,,,tungsten carbide,14.0,21,500 314 137 006 012,,3.0,,,1.2,434.96185302734375,581.4346618652344,
